"ID","condition","Random_BIC","Distinct_game_BIC","theta_transfer","lambda_transfer","Distinct_stage_BIC","theta_no_btw_tr","lambda_no_btw_tr","Bayes_distinct_no","theta_no_tr","lambda_no_tr","QL_states_BIC","QL_states_Beta","QL_states_alpha","QLS_within_Tr_BIC","QLS_within_Tr_Beta","QLS_within_Tr_alpha","STEWA_NT_2LL","STEWA_NT_BIC","STEWA_NT_Lambda","STEWA_Tr_2LL","STEWA_Tr_BIC","STEWA_Tr_Lambda","MBM_2LL","MBM2_BIC","MBM2_alpha","MBM2_beta"
"bZg1T3MNoItL6b7qAAAj","Level2",395.500423920519,286.86923192383,0.00860200925515818,471.816683105031,300.299088437617,0.0089617267891749,459.881031966766,290.688956196359,0.0612026623301585,56.3702253436619,291.99263459103,0.558910680980734,0.880756417581141,288.475550346637,0.674475722239623,0.883924417146523,294.709681538882,299.902638389772,6.40548133897984,349.055076445926,354.248033296816,3.92049452894178,283.87539663148,294.261310333261,0.712398097724704,0.218039025123875
"J3SqvTcFUwXtSC6wAAB0","Level2",395.500423920519,287.927682190598,0.028787352130717,103.45940154707,282.449723386439,0.117416212389769,23.640252602884,277.61393625897,0.252262149743676,11.2790149039212,270.963725073785,0.369186139011144,0.558111015377045,266.427989702039,0.421605930754479,0.498668042089626,317.945250565349,323.138207416239,5.95141380338471,334.883765245896,340.076722096786,4.89161186416153,268.210586102184,278.596499803964,0.571596886438781,0.683404276380315
"gRRZ0rUagyVejWTOAAFl","Level2",395.500423920519,394.3996456014,0.0269631877720803,32.2372416912767,397.387019023123,0.101983973396112,6.47501784999459,398.426545171364,0.97471448918023,0.548172803874954,390.895003823586,0.255222769955913,0.109666502447144,381.479232968174,0.740926697162679,0.385406887562472,388.270687932853,393.463644783743,1.43925873024911,376.971790405427,382.164747256317,2.30378218853019,382.013201268358,392.399114970138,1.74991769204713,0.289665538591453
"vGnDPRowetREQVmwAADL","Level2",395.500423920519,405.878036289555,0.000115201510900433,333.133309687925,404.986192811989,0.0561652451201506,4.62354000933218,403.162167868721,0.199865522931578,1.96853977867004,396.774243582387,0.367049229584307,0.152217199854239,399.182743272467,0.848151223527304,0.258257596888471,395.500423920519,400.69338077141,5.40075621175887e-16,395.477962657272,400.670919508163,0.0590963442905681,387.706842275525,398.092755977305,1.72089415697219,0.286853836327012
"UQ2ClBvGXwIgRRxJAACU","Level1",395.500423920519,253.693064804061,0.0414205164450151,84.2246275031181,243.210538162039,0.999305285360454,2.96343219074175,254.410660829038,0.999900352430744,2.88827242181726,234.145882519999,0.350100020485425,0.72788654149798,201.285544401013,0.369606324575948,0.876088121681061,291.853305039069,297.04626188996,7.84377384521141,293.075752869069,298.268709719959,8.22182109450983,221.098250498568,231.484164200348,0.436559119450866,0.697429423190818
"wi_zWhftr9MdqTmCAAHs","Level1",395.500423920519,363.059804942066,0.022926280668846,77.4850016009433,365.645201272474,0.168349677564795,8.02959507574116,359.881324341818,0.301749602188687,4.90006126901687,370.413305553132,0.537514757551253,0.372501158667728,363.204883601863,0.311622931529991,0.147721529974285,366.391887665036,371.584844515926,3.05074228208756,377.352868673344,382.545825524234,2.4441868892986,361.902348330088,372.288262031869,1.19607399516465,0.477947594571201
"v4JPdc2dyGGb0M9KAAAS","Level1",395.500423920519,397.210593205308,0.00880160069680326,123.559045350315,398.082433717521,0.0158021343068729,65.644337135573,398.532892356775,0.0227088561668863,45.3963084260079,399.958050801346,1.66402646264394,0.855838957486642,393.535876304858,2.19510873150135,0.794453253897291,394.496140148655,399.689096999545,0.5871749642167,388.384570127245,393.577526978135,1.43087521304361,388.381775372274,398.767689074055,2.33508462282364,0.0501667319331318
"LQcrLHbnJAiZQ7BLAAFx","Level1",395.500423920519,405.448470619268,0.000271354461936773,995.813279371763,405.434697305805,0.000277358460004492,994.859927165144,405.434285036809,0.00043574881261005,650.255634079715,405.8863376223,12.7756869908599,5.05889722882581e-16,405.8863376223,4.82578052586001,2.0010353198793e-16,395.500423920519,400.69338077141,2.42232879826354e-15,395.500423920519,400.69338077141,2.80838390771732e-16,395.920839473871,406.306753175652,8.50682943630904,0.664575095055625
"1XLMrTr83c4qS8dZAADJ","Level2",395.500423920519,405.095998216552,0.745195850583866,0.225707236917246,403.999520817233,0.999937153549146,0.251995519466238,404.771230567932,0.999388091551445,0.192683351191475,388.86701459435,1.28555854914302,0.883299869429141,384.968240531637,1.51375157606256,0.720087907868518,394.329913438532,399.522870289422,0.528260217662333,393.956156951379,399.149113802269,0.564170051374603,378.862789764565,389.248703466345,1.85557239583038,0.767990249227228
"NWCvzUgUu8IuyjfLAAB_","Level1",395.500423920519,403.058598883513,0.0332319685181713,12.9881526255416,404.749640389444,0.422538685992991,0.512405294552092,404.801958441283,0.400597521666578,0.571166613853264,369.889548770167,0.421951536552236,0.293220006277414,374.24789712402,1.6458517888543,0.789696179638577,393.45501966275,398.64797651364,0.777068326824965,388.23874887704,393.431705727931,1.34296090258388,361.511076835709,371.896990537489,0.962351878472717,0.400250211243402
