"game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner","ai_action_prev","human_action_prev","pred_a1_level0","pred_a2_level0","pred_a3_level0","pred_a4_level0","pred_a5_level0","pred_a1_level1","pred_a2_level1","pred_a3_level1","pred_a4_level1","pred_a5_level1","pred_a1_level2","pred_a2_level2","pred_a3_level2","pred_a4_level2","pred_a5_level2","ai_action_num","human_action_num","score","block","h_action","a_action","QLS_lik","Bayes_NT_lik","Bayes_Tr_lik"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",13,"rock",2124,"scissors",2898.49461857209,"human","rock","rock",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,1,"R","S",0.34597714722243,0.333333332932189,0.350883827209664
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",14,"scissors",1283,"paper",648.055776890712,"human","scissors","rock",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,3,1,1,"S","P",0.429498411568264,0.333333452348346,0.396855768563536
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",15,"scissors",1173,"rock",798.85517763397,"ai","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,-1,1,"S","R",0.306008716679392,0.333333332932097,0.312913343078669
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",16,"paper",1262,"scissors",1653.72046652773,"ai","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,-1,1,"P","S",0.289180809691175,0.333333452348265,0.356076680559461
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",17,"paper",827,"paper",2082.31477337195,"tie","scissors","paper",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,"P","P",0.292674798454415,0.333333213516009,0.288766609574222
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",18,"scissors",2029,"rock",2128.13440036882,"ai","paper","paper",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,-1,1,"S","R",0.333333333333333,0.333333332932103,0.312429597065772
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",19,"rock",1724,"scissors",800.721019560757,"human","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,1,"R","S",0.435443928442256,0.333333332932195,0.361054151689845
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",20,"rock",1058,"rock",1155.26922290656,"tie","scissors","rock",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,"R","R",0.264042053545815,0.333333332932085,0.307901060211504
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",21,"rock",991,"scissors",902.561906525995,"human","rock","rock",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,1,"R","S",0.428396623498481,0.333333332932213,0.364358716087366
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",22,"scissors",1029,"paper",1217.79256070781,"human","scissors","rock",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,3,1,1,"S","P",0.408461435097619,0.333333452348364,0.404847067689181
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",23,"paper",2539,"rock",2052.0506558846,"human","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,"P","R",0.34707944490636,0.333333452348369,0.406180195086424
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",24,"paper",907,"scissors",2193.96791055018,"ai","rock","paper",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,-1,1,"P","S",0.333333333333333,0.333333332932075,0.304630706279195
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",25,"paper",1262,"scissors",1127.15752705939,"ai","scissors","paper",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,-1,1,"P","S",0.317279191626415,0.333333213516009,0.288622533623615
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",26,"scissors",1154,"paper",2329.71550320487,"human","scissors","paper",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,3,1,2,"S","P",0.427289955999628,0.333333332932206,0.366044836638958
