"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","lambda_transfer","theta_no_transfer","lambda_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","ST_EWA_STATES_BIC","ST_EWA_STATES_Lambda"
"38VxtUSv_h6RR5-tAAA2","Level2",380.666248977032,388.617352703883,390.687520522435,0.0221008870938151,18.6764416413434,1.77945063697119e-08,60.3975930693883,385.506880246424,3.11728963507141,0.908277301410048,387.838480654187,3.95072937468042,0.917553402949125,390.487214635849,370.444673459464,0.0999021222810159,0.0100000004982844,0.0100008362710688,0.723764212908966,385.664663921962,0.0300937673623058
"oXdDF_U-Dft2ja2lAAAs","Level1",380.666248977032,305.021844116714,269.423765004112,0.00709847849589045,382.559493750746,0.0567793688983743,41.9947607381978,387.487596594134,2.68640914501792,0.656306058258767,170.499538638169,0.0299407724721373,0.044399463668436,396.349630406001,376.307089229616,1.07659381321166,0.0350389210745043,0.999999976377617,0.67825144497222,259.197487596635,3.03122753585799
"4HDD95eEc5uc6WGZAAB-","Level1",380.666248977032,386.098359772174,383.651681723566,0.028557490974175,18.391566209227,0.032233345172558,22.1148270121566,390.687519565225,5.42838960620409,0,351.955853157263,0.823857328215805,0.642371319078539,400.585585499287,380.543044322902,0.97575551103081,0.999999999960773,0.999999999987548,0.242526348861954,365.01528609154,1.2379775286512
"QSuzBXpbyRc370HsAACW","Level2",380.666248977032,357.216564338692,354.235661591028,0.0111980076823353,121.030497373479,0.0224014516248416,67.4938662806075,389.927743282838,0.0238578485626632,0.00171304870931922,362.28743090816,0.499857164630246,0.290422571158181,398.948251623163,378.905710446778,1.0575544257566,0.0100008240875881,0.0136495960168098,0.0225897975383374,352.975340187426,1.66231740207153
"9M_yMJbCXl54gNUJAAAg","Level2",380.666248977032,337.667365640234,347.940193291252,0.0117986437385966,138.02311767965,0.0281229566566145,53.4029918091336,390.161033990721,1.48000236611292,0.0858179156673936,314.811083639221,0.292083467503789,0.222919244995675,398.08668490546,378.044143729075,1.06786939526437,0.999999201304473,0.999999528080892,0.841104968773926,355.523705494104,1.43034873420709
"SqFSft5pBSQvCRguAAB4","Level2",380.666248977032,151.576997628427,144.890178135988,0.0144790855858382,271.539609889037,0.0360931382184677,112.682312538521,390.687519565225,6.02431404143521,0,173.116753171409,0.29482673720157,0.456468433403641,400.720495393076,380.677954216691,0.0100000014641061,0.999999984624124,0.999999999258597,0.0100000006680507,175.716475683305,5.44004382245701
"OMboMzdFXCbIT4xIAABY","Level1",380.666248977032,247.414746229108,220.032074919523,0.0123199225397361,260.914144265884,0.0697903102726415,52.2324454125814,390.687519565225,7.84185087115452,0,243.010102237516,0.288758586220678,0.317772618336329,399.872318494076,379.829777317691,0.0100000009866179,0.999999999233778,0.999999999697439,0.888062523893228,246.303523431567,3.63413779481418
"FeAZRu_9Hrcdjm_iAABo","Level1",380.666248977032,320.050401071912,322.498253573699,0.00962143360548831,241.824787128952,0.0128948183433621,212.953538239301,390.687519565225,2.88721103907596,0,315.496302849493,0.110163318047118,0.0619621428320369,399.570846798649,379.528305622264,1.02805888581018,0.999999997451436,0.999999998575309,0.503103490483678,356.879379558158,1.44720180270684
"h_7YPIjrawfjJTC9AACI","Level1",380.666248977032,390.553360592789,390.687529774913,0.0122855715123319,21.618760716368,1.11824313762353e-07,52.6936861569356,390.285106653011,4.73157036662815,0.326893392662089,373.520730291933,1.48477808880823,0.898022812325507,399.568425687514,379.525884511129,0.665827454814036,0.999999999981254,0.010000001301238,0.0979512689176015,379.379382924466,0.68575863085254
"7QnidGGKs1c6kKJoAAAI","Level2",380.666248977032,337.601315525811,337.563705556024,0.0148891326022132,102.179169051208,0.0581653025329578,24.3608552585596,374.420072470763,0.00445698204917848,0.00240291072404276,250.268359284876,0.305345038036206,0.594122995801602,347.399380955846,327.356839779461,1.06910118343954,0.0100070175214932,0.999995268288394,5.82582868724538,376.772799918913,0.641725448745057
"Awf0J1oiQuRs5911AAAS","Level2",380.666248977032,139.047802965493,159.520299184373,0.0180931529344784,225.007248048438,0.0279359107029019,146.262884605609,390.687519565225,8.33219232159855,0,150.867611337556,0.162283980252396,0.176840286965523,400.727486756511,380.684945580126,0.0100000075416555,0.999999947698716,0.999999950355291,0.0100000001389441,175.722280678148,4.22109739487656
