"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","theta_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","EWA_self_2LL","EWA_self_BIC","EWA_self_Lambda","EWA_states_BIC","EWA_states_Lambda"
"7uLGzocWjI2W7oj0AAAq","Level1",380.666248977032,320.636031410507,319.734325624028,0.457909290212166,0.462423660761675,390.687519565225,4.88829585710937,0,278.92179039883,0.334905226114923,0.402856135829891,400.499144646413,380.456603470028,1.14615181586171,0.0100201040521186,0.999724650037364,0.0100000197156537,380.666248977032,385.676884271128,3.15841716719543e-16,277.951563390918,3.22536919855132
"2rceYs3ijHQUGaHWAAAE","Level1",380.666248977032,306.810924141529,235.651096720833,0.493359206126195,0.682817512171465,390.687519565225,8.44036133420425,0,216.063764958428,0.32500022235661,0.498423115864168,400.720625014867,380.678083838482,1.03814213941044,0.999979298363697,0.999998124068156,0.0100004091776654,380.666248977032,385.676884271128,1.83596479208339e-16,230.104789040968,4.00814155948314
"nwR4WarcStlliwI7AAA-","Level2",380.666248977032,377.196781521038,376.231446792742,0.150430104163846,0.162545519093224,388.298151523408,3.59762867651804,0.751314078094532,366.922808280066,1.09685037332557,0.708098356254107,397.710612465315,377.66807128893,1.06750092251139,0.763387226291899,0.999999999965557,1.39865496387863,380.198786366378,385.209421660475,0.339759315840124,385.422355028821,0.114718577344388
"2H3e6jXSDoRUUpIeAAAG","Level2",380.666248977032,385.420928905076,385.676884273875,0.051739859074625,5.08616738359986e-11,390.687519565225,7.72002976406811,0,366.082918850685,0.676340474811209,0.373420858644993,400.735639401761,380.693098225376,0.0100000112673591,0.0100000134378638,0.999999999862489,0.0100000000234995,380.666248977032,385.676884271128,5.73350196138636e-16,378.85876550208,0.810759175138728
"NdP4BC2S2NeOQ4WqAABa","Level2",380.666248977032,314.706615058725,311.252884334789,0.497584264161258,0.511397851160117,382.427871671088,0.0379579614101961,0.00379579614101962,214.752837500961,0.160405686546104,0.270516310891498,374.908148311088,354.865607134703,1.058428170078,0.0100004495448906,0.0520944997468562,0.121661559919536,380.666248977032,385.676884271128,2.09162412554955e-16,279.456561976074,2.65287170827146
"8z6u62nisLvOgfsbAACC","Level1",380.666248977032,355.109723054373,351.765647335682,0.320052351930491,0.344343522623905,390.687519565225,4.57719581052152,0,321.268355385126,0.414240143607171,0.317483796848909,400.708577596302,380.666036419917,0.664495262643824,0.999999999943056,0.999999999993749,0.0131233036244911,380.666248977032,385.676884271128,9.24706562366136e-16,334.552511988375,2.10126299001415
"PC0tz873AYJDuBl-AABk","Level1",380.666248977032,327.445481866024,247.983128457289,0.427479277947562,0.64890736904434,390.687519565225,7.89926949590355,0,182.624524492386,0.299485477601851,0.524605691014114,400.716669049704,380.674127873319,0.0100000006189851,0.9999999998692,0.482022619112088,0.0100000003690545,380.666248977032,385.676884271128,3.14452328153535e-16,207.298802346038,3.93960482227703
"tiYbLbPVLMnsq9hUAAAC","Level1",380.666248977032,306.422278716987,304.769901658321,0.522406041031056,0.53707628377613,390.687519565225,5.13160906614963,0,272.973726939598,0.403684896888445,0.446490485823788,397.087780908086,377.045239731701,0.0100000003975605,0.99999999952612,0.791952283615204,0.875669737125328,380.666248977032,385.676884271128,7.97141889693651e-16,308.536052206251,2.4326827536867
"EHmRs5tGqI6y_ZBYAAAM","Level2",380.666248977032,366.737734577234,363.226440971935,0.234050420654997,0.261275265415092,390.687519565225,4.66482050466738,0,317.310064378118,0.153998462034859,0.143439732278156,398.155077600859,378.112536424474,1.09672961699905,0.0102315042405166,0.681964152606098,0.0194798316342517,380.666248977032,385.676884271128,5.90442550939651e-16,354.014178880992,1.55143913635781
"tWiP-HttMqVnssTJAABW","Level1",380.666248977032,382.333566410967,381.292128749028,0.0917492166940066,0.107940657182776,390.687519565225,5.70567783273168,0,371.819922716789,1.54260277305502,0.998039602951107,395.446998699116,375.404457522731,0.44164658916682,0.999999999995517,0.865871462626274,1.36335914925372,377.008893067924,382.01952836202,0.726041369421924,377.373494897805,0.85149520419644
